Date,Barrage,Capacite Normale (Mm3),Reserve (Mm3),Taux de Remplissage (%)
2026-02-21,El Mellah,35,33.65,96.1429
2026-02-21,El Himer,14,3.008,21.4857
2026-02-21,Maazer,13,2.409,18.5308
2026-02-21,O. Hassar,2.24,-,-
2026-02-21,Ain Kouachia,11,11.2,101.818
2026-02-21,Zamrine,0.496,0,0
2026-02-21,Réserve totale,,1032.417,
2026-02-20,Sidi Mohammed Ben Abdellah,974.788,933.936,95.8091
2026-02-20,Tamesna,57,47.318,83.014
2026-02-20,El Mellah,35,33.622,96.0629
2026-02-20,El Himer,14,3.002,21.4429
2026-02-20,Maazer,13,2.409,18.5308
2026-02-20,O. Hassar,2.24,-,-
2026-02-20,Ain Kouachia,11,11.44,104
2026-02-20,Zamrine,0.496,0,0
2026-02-20,Réserve totale,,1031.7269,
2026-02-19,Sidi Mohammed Ben Abdellah,974.788,932.592,95.6713
2026-02-19,Tamesna,57,47.288,82.9614
2026-02-19,El Mellah,35,33.579,95.94
2026-02-19,El Himer,14,3.002,21.4429
2026-02-19,Maazer,13,2.418,18.6
2026-02-19,O. Hassar,2.24,-,-
2026-02-19,Ain Kouachia,11,11.71,106.455
2026-02-19,Zamrine,0.496,0,0
2026-02-19,Réserve totale,,1030.589,
2026-02-18,Sidi Mohammed Ben Abdellah,974.788,930.803,95.4877
2026-02-18,Tamesna,57,47.199,82.8053
2026-02-18,El Mellah,35,33.536,95.8171
2026-02-18,El Himer,14,2.996,21.4
2026-02-18,Maazer,13,2.527,19.4385
2026-02-18,O. Hassar,2.24,-,-
2026-02-18,Ain Kouachia,11,11.95,108.636
2026-02-18,Zamrine,0.496,-,-
2026-02-18,Réserve totale,,1029.0109,
2026-02-17,Sidi Mohammed Ben Abdellah,974.788,928.568,95.2585
2026-02-17,Tamesna,57,46.992,82.4421
2026-02-17,El Mellah,35,33.536,95.8171
2026-02-17,El Himer,14,2.99,21.3571
2026-02-17,Maazer,13,2.432,18.7077
2026-02-17,O. Hassar,2.24,-,-
2026-02-17,Ain Kouachia,11,12.19,110.818
2026-02-17,Zamrine,0.496,0.075,15.121
2026-02-17,Réserve totale,,1026.783,
2026-02-16,Sidi Mohammed Ben Abdellah,974.788,925.445,94.9381
2026-02-16,Tamesna,57,46.903,82.286
2026-02-16,El Mellah,35,33.493,95.6943
2026-02-16,El Himer,14,2.99,21.3571
2026-02-16,Maazer,13,2.436,18.7385
2026-02-16,O. Hassar,2.24,-,-
2026-02-16,Ain Kouachia,11,12.4,112.727
2026-02-16,Zamrine,0.496,0.213,42.9436
2026-02-16,Réserve totale,,1023.88,
2026-02-15,Sidi Mohammed Ben Abdellah,974.788,917,94.0717
2026-02-15,Tamesna,57,46.726,81.9754
2026-02-15,El Mellah,35,33.365,95.3286
2026-02-15,El Himer,14,2.984,21.3143
2026-02-15,Maazer,13,2.445,18.8077
2026-02-15,O. Hassar,2.24,-,-
2026-02-15,Ain Kouachia,11,12.62,114.727
2026-02-15,Zamrine,0.496,0.214,43.1452
2026-02-15,Réserve totale,,1015.354,
2026-02-14,Sidi Mohammed Ben Abdellah,974.788,905.511,92.8931
2026-02-14,Tamesna,57,46.55,81.6667
2026-02-14,El Mellah,35,32.937,94.1057
2026-02-14,El Himer,14,2.978,21.2714
2026-02-14,Maazer,13,2.45,18.8462
2026-02-14,O. Hassar,2.24,-,-
2026-02-14,Ain Kouachia,11,12.57,114.273
2026-02-14,Zamrine,0.496,0.214,43.1452
2026-02-14,Réserve totale,,1003.21,
2026-02-13,Sidi Mohammed Ben Abdellah,974.788,911.245,93.4814
2026-02-13,Tamesna,57,46.432,81.4596
2026-02-13,El Mellah,35,32.767,93.62
2026-02-13,El Himer,14,2.936,20.9714
2026-02-13,Maazer,13,2.454,18.8769
2026-02-13,O. Hassar,2.24,-,-
2026-02-13,Ain Kouachia,11,12.51,113.727
2026-02-13,Zamrine,0.496,0,0
2026-02-13,Réserve totale,,1008.34393,
2026-02-12,Sidi Mohammed Ben Abdellah,974.788,912.571,93.6174
2026-02-12,Tamesna,57,46.373,81.3561
2026-02-12,El Mellah,35,32.682,93.3771
2026-02-12,El Himer,14,2.93,20.9286
2026-02-12,Maazer,13,2.459,18.9154
2026-02-12,O. Hassar,2.24,-,-
2026-02-12,Ain Kouachia,11,12.7,115.455
2026-02-12,Zamrine,0.496,0.213,42.9436
2026-02-12,Réserve totale,,1009.928,
2026-02-11,Sidi Mohammed Ben Abdellah,974.788,913.014,93.6628
2026-02-11,Tamesna,57,46.256,81.1509
2026-02-11,El Mellah,35,32.555,93.0143
2026-02-11,El Himer,14,2.924,20.8857
2026-02-11,Maazer,13,2.468,18.9846
2026-02-11,O. Hassar,2.24,-,-
2026-02-11,Ain Kouachia,11,12.29,111.727
2026-02-11,Zamrine,0.496,0.216,43.5484
2026-02-11,Réserve totale,,1009.72296,
2026-02-10,Sidi Mohammed Ben Abdellah,974.788,914.341,93.799
2026-02-10,Tamesna,57,46.022,80.7403
2026-02-10,El Mellah,35,32.428,92.6514
2026-02-10,El Himer,14,2.918,20.8429
2026-02-10,Maazer,13,2.472,19.0154
2026-02-10,O. Hassar,2.24,-,-
2026-02-10,Ain Kouachia,11,13.07,118.818
2026-02-10,Zamrine,0.496,0.217,43.75
2026-02-10,Réserve totale,,1011.46796,
2026-02-09,Sidi Mohammed Ben Abdellah,974.788,920.55,94.4359
2026-02-09,Tamesna,57,45.411,79.6684
2026-02-09,El Mellah,35,31.88,91.0857
2026-02-09,El Himer,14,2.895,20.6786
2026-02-09,Maazer,13,2.477,19.0538
2026-02-09,O. Hassar,2.24,-,-
2026-02-09,Ain Kouachia,11,13.26,120.545
2026-02-09,Zamrine,0.496,0.216,43.5484
2026-02-09,Réserve totale,,1016.689,
2026-02-08,Sidi Mohammed Ben Abdellah,974.788,916.113,93.9807
2026-02-08,Tamesna,57,44.062,77.3018
2026-02-08,El Mellah,35,31.169,89.0543
2026-02-08,El Himer,14,2.78,19.8571
2026-02-08,Maazer,13,2.463,18.9462
2026-02-08,O. Hassar,2.24,-,-
2026-02-08,Ain Kouachia,11,14.07,127.909
2026-02-08,Zamrine,0.496,0.001,0.201613
2026-02-08,Réserve totale,,1010.658,
2026-02-07,Sidi Mohammed Ben Abdellah,974.788,916.556,94.0262
2026-02-07,Tamesna,57,43.949,77.1035
2026-02-07,El Mellah,35,31.461,89.8886
2026-02-07,El Himer,14,2.78,19.8571
2026-02-07,Maazer,13,2.459,18.9154
2026-02-07,O. Hassar,2.24,-,-
2026-02-07,Ain Kouachia,11,12.03,109.364
2026-02-07,Zamrine,0.496,-,-
2026-02-07,Réserve totale,,1009.23505,
2026-02-06,Sidi Mohammed Ben Abdellah,974.788,925,94.8924
2026-02-06,Tamesna,57,43.61,76.5088
2026-02-06,El Mellah,35,31.796,90.8457
2026-02-06,El Himer,14,2.774,19.8143
2026-02-06,Maazer,13,2.463,18.9462
2026-02-06,O. Hassar,2.24,-,-
2026-02-06,Ain Kouachia,11,12.33,112.091
2026-02-06,Zamrine,0.496,-,-
2026-02-06,Réserve totale,,1017.973,
2026-02-05,Sidi Mohammed Ben Abdellah,974.788,934.832,95.9011
2026-02-05,Tamesna,57,43.525,76.3596
2026-02-05,El Mellah,35,32.217,92.0486
2026-02-05,El Himer,14,2.763,19.7357
2026-02-05,Maazer,13,2.468,18.9846
2026-02-05,O. Hassar,2.24,-,-
2026-02-05,Ain Kouachia,11,12.51,113.727
2026-02-05,Zamrine,0.496,0.215,43.3468
2026-02-05,Réserve totale,,1028.5299,
2026-02-04,Sidi Mohammed Ben Abdellah,974.788,934.384,95.8551
2026-02-04,Tamesna,57,43.217,75.8193
2026-02-04,El Mellah,35,32.513,92.8943
2026-02-04,El Himer,14,2.757,19.6929
2026-02-04,Maazer,13,2.472,19.0154
2026-02-04,O. Hassar,2.24,-,-
2026-02-04,Ain Kouachia,11,12.856,116.873
2026-02-04,Zamrine,0.496,0.218,43.9516
2026-02-04,Réserve totale,,1028.417,
2026-02-03,Sidi Mohammed Ben Abdellah,974.788,925.891,94.9838
2026-02-03,Tamesna,57,42.659,74.8403
2026-02-03,El Mellah,35,32.175,91.9286
2026-02-03,El Himer,14,2.751,19.65
2026-02-03,Maazer,13,2.477,19.0538
2026-02-03,O. Hassar,2.24,-,-
2026-02-03,Ain Kouachia,11,12.46,113.273
2026-02-03,Zamrine,0.496,0.226,45.5645
2026-02-03,Réserve totale,,1018.639,
2026-02-02,Sidi Mohammed Ben Abdellah,974.788,929.462,95.3502
2026-02-02,Tamesna,57,42.43,74.4386
2026-02-02,El Mellah,35,31.461,89.8886
2026-02-02,El Himer,14,2.707,19.3357
2026-02-02,Maazer,13,2.482,19.0923
2026-02-02,O. Hassar,2.24,-,-
2026-02-02,Ain Kouachia,11,11.91,108.273
2026-02-02,Zamrine,0.496,0.213,42.9436
2026-02-02,Réserve totale,,1020.6649,
2026-02-01,Sidi Mohammed Ben Abdellah,974.788,923,94.6873
2026-02-01,Tamesna,57,42.438,74.4526
2026-02-01,El Mellah,35,31.461,89.8886
2026-02-01,El Himer,14,2.701,19.2929
2026-02-01,Maazer,13,-,-
2026-02-01,O. Hassar,2.24,-,-
2026-02-01,Ain Kouachia,11,11.91,108.273
2026-02-01,Zamrine,0.496,0.213,42.9436
2026-02-01,Réserve totale,,1011.72296,
2026-01-31,Sidi Mohammed Ben Abdellah,974.788,947.887,97.2403
2026-01-31,Tamesna,57,42.382,74.3544
2026-01-31,El Mellah,35,31.377,89.6486
2026-01-31,El Himer,14,2.69,19.2143
2026-01-31,Maazer,13,-,-
2026-01-31,O. Hassar,2.24,-,-
2026-01-31,Ain Kouachia,11,11.8,107.273
2026-01-31,Zamrine,0.496,-,-
2026-01-31,Réserve totale,,1036.1361,
2026-01-30,Sidi Mohammed Ben Abdellah,974.788,953.774,97.8442
2026-01-30,Tamesna,57,42.355,74.307
2026-01-30,El Mellah,35,31.294,89.4114
2026-01-30,El Himer,14,2.689,19.2071
2026-01-30,Maazer,13,-,-
2026-01-30,O. Hassar,2.24,-,-
2026-01-30,Ain Kouachia,11,11.61,105.545
2026-01-30,Zamrine,0.496,-,-
2026-01-30,Réserve totale,,1041.7219,
2026-01-29,Sidi Mohammed Ben Abdellah,974.788,958.318,98.3104
2026-01-29,Tamesna,57,42.217,74.0649
2026-01-29,El Mellah,35,31.252,89.2914
2026-01-29,El Himer,14,2.668,19.0571
2026-01-29,Maazer,13,-,-
2026-01-29,O. Hassar,2.24,-,-
2026-01-29,Ain Kouachia,11,11.72,106.545
2026-01-29,Zamrine,0.496,-,-
2026-01-29,Réserve totale,,1046.1749,
2026-01-28,Sidi Mohammed Ben Abdellah,974.788,961.507,98.6376
2026-01-28,Tamesna,57,42.107,73.8719
2026-01-28,El Mellah,35,31.211,89.1743
2026-01-28,El Himer,14,2.662,19.0143
2026-01-28,Maazer,13,-,-
2026-01-28,O. Hassar,2.24,-,-
2026-01-28,Ain Kouachia,11,12.14,110.364
2026-01-28,Zamrine,0.496,-,-
2026-01-28,Réserve totale,,1049.6271,
2026-01-27,Sidi Mohammed Ben Abdellah,974.788,965.159,99.0122
2026-01-27,Tamesna,57,41.887,73.486
2026-01-27,El Mellah,35,31.086,88.8171
2026-01-27,El Himer,14,2.652,18.9429
2026-01-27,Maazer,13,-,-
2026-01-27,O. Hassar,2.24,-,-
2026-01-27,Ain Kouachia,11,12.41,112.818
2026-01-27,Zamrine,0.496,-,-
2026-01-27,Réserve totale,,1053.1941,
2026-01-26,Sidi Mohammed Ben Abdellah,974.788,965.616,99.0591
2026-01-26,Tamesna,57,41.514,72.8316
2026-01-26,El Mellah,35,31.003,88.58
2026-01-26,El Himer,14,2.646,18.9
2026-01-26,Maazer,13,-,-
2026-01-26,O. Hassar,2.24,-,-
2026-01-26,Ain Kouachia,11,12.856,116.873
2026-01-26,Zamrine,0.496,-,-
2026-01-26,Réserve totale,,1053.635,
2026-01-25,Sidi Mohammed Ben Abdellah,974.788,969.783,99.4866
2026-01-25,Tamesna,57,40.746,71.4842
2026-01-25,El Mellah,35,29.89,85.4
2026-01-25,El Himer,14,2.454,17.5286
2026-01-25,Maazer,13,-,-
2026-01-25,O. Hassar,2.24,-,-
2026-01-25,Ain Kouachia,11,13.36,121.455
2026-01-25,Zamrine,0.496,-,-
2026-01-25,Réserve totale,,1056.2329,
2026-01-24,Sidi Mohammed Ben Abdellah,974.788,968.34,99.3385
2026-01-24,Tamesna,57,34.079,59.7877
2026-01-24,El Mellah,35,26.895,76.8429
2026-01-24,El Himer,14,2.223,15.8786
2026-01-24,Maazer,13,-,-
2026-01-24,O. Hassar,2.24,-,-
2026-01-24,Ain Kouachia,11,13.18,119.818
2026-01-24,Zamrine,0.496,-,-
2026-01-24,Réserve totale,,1044.717,
2026-01-23,Sidi Mohammed Ben Abdellah,974.788,965.159,99.0122
2026-01-23,Tamesna,57,33.207,58.2579
2026-01-23,El Mellah,35,25.946,74.1314
2026-01-23,El Himer,14,2.155,15.3929
2026-01-23,Maazer,13,-,-
2026-01-23,O. Hassar,2.24,-,-
2026-01-23,Ain Kouachia,11,12.19,110.818
2026-01-23,Zamrine,0.496,-,-
2026-01-23,Réserve totale,,1038.657,
2026-01-22,Sidi Mohammed Ben Abdellah,974.788,965.159,99.0122
2026-01-22,Tamesna,57,32.974,57.8491
2026-01-22,El Mellah,35,25.867,73.9057
2026-01-22,El Himer,14,2.155,15.3929
2026-01-22,Maazer,13,-,-
2026-01-22,O. Hassar,2.24,-,-
2026-01-22,Ain Kouachia,11,12.3,111.818
2026-01-22,Zamrine,0.496,-,-
2026-01-22,Réserve totale,,1038.4551,
2026-01-21,Sidi Mohammed Ben Abdellah,974.788,972.031,99.7172
2026-01-21,Tamesna,57,32.603,57.1982
2026-01-21,El Mellah,35,25.71,73.4571
2026-01-21,El Himer,14,2.136,15.2571
2026-01-21,Maazer,13,-,-
2026-01-21,O. Hassar,2.24,-,-
2026-01-21,Ain Kouachia,11,12.19,110.818
2026-01-21,Zamrine,0.496,-,-
2026-01-21,Réserve totale,,1044.6699,
2026-01-20,Sidi Mohammed Ben Abdellah,974.788,970.195,99.5288
2026-01-20,Tamesna,57,32.584,57.1649
2026-01-20,El Mellah,35,25.632,73.2343
2026-01-20,El Himer,14,2.222,15.8714
2026-01-20,Maazer,13,-,-
2026-01-20,O. Hassar,2.24,-,-
2026-01-20,Ain Kouachia,11,12.14,110.364
2026-01-20,Zamrine,0.496,-,-
2026-01-20,Réserve totale,,1042.7731,
2026-01-19,Sidi Mohammed Ben Abdellah,974.788,971.572,99.6701
2026-01-19,Tamesna,57,32.189,56.4719
2026-01-19,El Mellah,35,25.515,72.9
2026-01-19,El Himer,14,2.217,15.8357
2026-01-19,Maazer,13,-,-
2026-01-19,O. Hassar,2.24,-,-
2026-01-19,Ain Kouachia,11,12.02,109.273
2026-01-19,Zamrine,0.496,-,-
2026-01-19,Réserve totale,,1043.5131,
2026-01-18,Sidi Mohammed Ben Abdellah,974.788,974.328,99.9528
2026-01-18,Tamesna,57,30.788,54.014
2026-01-18,El Mellah,35,24.626,70.36
2026-01-18,El Himer,14,2.098,14.9857
2026-01-18,Maazer,13,-,-
2026-01-18,O. Hassar,2.24,-,-
2026-01-18,Ain Kouachia,11,11.44,104
2026-01-18,Zamrine,0.496,-,-
2026-01-18,Réserve totale,,1043.28,
2026-01-17,Sidi Mohammed Ben Abdellah,974.788,972.49,99.7643
2026-01-17,Tamesna,57,30.565,53.6228
2026-01-17,El Mellah,35,24.511,70.0314
2026-01-17,El Himer,14,2.015,14.3929
2026-01-17,Maazer,13,-,-
2026-01-17,O. Hassar,2.24,-,-
2026-01-17,Ain Kouachia,11,11.27,102.455
2026-01-17,Zamrine,0.496,-,-
2026-01-17,Réserve totale,,1040.8511,
2026-01-16,Sidi Mohammed Ben Abdellah,974.788,969.278,99.4347
2026-01-16,Tamesna,57,30.543,53.5842
2026-01-16,El Mellah,35,24.473,69.9229
2026-01-16,El Himer,14,1.987,14.1929
2026-01-16,Maazer,13,-,-
2026-01-16,O. Hassar,2.24,-,-
2026-01-16,Ain Kouachia,11,10.96,99.6364
2026-01-16,Zamrine,0.496,-,-
2026-01-16,Réserve totale,,1037.2411,
2026-01-15,Sidi Mohammed Ben Abdellah,974.788,967.446,99.2468
2026-01-15,Tamesna,57,30.543,53.5842
2026-01-15,El Mellah,35,24.473,69.9229
2026-01-15,El Himer,14,1.983,14.1643
2026-01-15,Maazer,13,-,-
2026-01-15,O. Hassar,2.24,-,-
2026-01-15,Ain Kouachia,11,10.93,99.3636
2026-01-15,Zamrine,0.496,-,-
2026-01-15,Réserve totale,,1035.3751,
2026-01-14,Sidi Mohammed Ben Abdellah,974.788,966.988,99.1998
2026-01-14,Tamesna,57,30.543,53.5842
2026-01-14,El Mellah,35,24.434,69.8114
2026-01-14,El Himer,14,1.974,14.1
2026-01-14,Maazer,13,-,-
2026-01-14,O. Hassar,2.24,-,-
2026-01-14,Ain Kouachia,11,10.84,98.5455
2026-01-14,Zamrine,0.496,-,-
2026-01-14,Réserve totale,,1034.779,
2026-01-13,Sidi Mohammed Ben Abdellah,974.788,967.446,99.2468
2026-01-13,Tamesna,57,30.543,53.5842
2026-01-13,El Mellah,35,24.434,69.8114
2026-01-13,El Himer,14,2.218,15.8429
2026-01-13,Maazer,13,-,-
2026-01-13,O. Hassar,2.24,-,-
2026-01-13,Ain Kouachia,11,10.84,98.5455
2026-01-13,Zamrine,0.496,-,-
2026-01-13,Réserve totale,,1035.481,
2026-01-12,Sidi Mohammed Ben Abdellah,974.788,967.446,99.2468
2026-01-12,Tamesna,57,30.521,53.5456
2026-01-12,El Mellah,35,24.396,69.7029
2026-01-12,El Himer,14,2.517,17.9786
2026-01-12,Maazer,13,-,-
2026-01-12,O. Hassar,2.24,-,-
2026-01-12,Ain Kouachia,11,10.84,98.5455
2026-01-12,Zamrine,0.496,-,-
2026-01-12,Réserve totale,,1035.72,
2026-01-11,Sidi Mohammed Ben Abdellah,974.788,966.988,99.1998
2026-01-11,Tamesna,57,30.499,53.507
2026-01-11,El Mellah,35,24.396,69.7029
2026-01-11,El Himer,14,2.746,19.6143
2026-01-11,Maazer,13,-,-
2026-01-11,O. Hassar,2.24,-,-
2026-01-11,Ain Kouachia,11,11.18,101.636
2026-01-11,Zamrine,0.496,-,-
2026-01-11,Réserve totale,,1035.8091,
2026-01-10,Sidi Mohammed Ben Abdellah,974.788,966.531,99.1529
2026-01-10,Tamesna,57,30.476,53.4667
2026-01-10,El Mellah,35,24.396,69.7029
2026-01-10,El Himer,14,3.002,21.4429
2026-01-10,Maazer,13,-,-
2026-01-10,O. Hassar,2.24,-,-
2026-01-10,Ain Kouachia,11,11.46,104.182
2026-01-10,Zamrine,0.496,-,-
2026-01-10,Réserve totale,,1035.865,
2026-01-09,Sidi Mohammed Ben Abdellah,974.788,966.073,99.106
2026-01-09,Tamesna,57,30.432,53.3895
2026-01-09,El Mellah,35,24.396,69.7029
2026-01-09,El Himer,14,3.246,23.1857
2026-01-09,Maazer,13,-,-
2026-01-09,O. Hassar,2.24,-,-
2026-01-09,Ain Kouachia,11,11.74,106.727
2026-01-09,Zamrine,0.496,-,-
2026-01-09,Réserve totale,,1035.887,
2026-01-08,Sidi Mohammed Ben Abdellah,974.788,967.904,99.2938
2026-01-08,Tamesna,57,30.41,53.3509
2026-01-08,El Mellah,35,24.32,69.4857
2026-01-08,El Himer,14,3.256,23.2571
2026-01-08,Maazer,13,-,-
2026-01-08,O. Hassar,2.24,-,-
2026-01-08,Ain Kouachia,11,12.03,109.364
2026-01-08,Zamrine,0.496,-,-
2026-01-08,Réserve totale,,1037.92,
2026-01-07,Sidi Mohammed Ben Abdellah,974.788,969.737,99.4818
2026-01-07,Tamesna,57,30.299,53.1561
2026-01-07,El Mellah,35,24.015,68.6143
2026-01-07,El Himer,14,3.284,23.4571
2026-01-07,Maazer,13,-,-
2026-01-07,O. Hassar,2.24,-,-
2026-01-07,Ain Kouachia,11,12.25,111.364
2026-01-07,Zamrine,0.496,-,-
2026-01-07,Réserve totale,,1039.5851,
2026-01-06,Sidi Mohammed Ben Abdellah,974.788,974.328,99.9528
2026-01-06,Tamesna,57,30.079,52.7702
2026-01-06,El Mellah,35,24.015,68.6143
2026-01-06,El Himer,14,3.31,23.6429
2026-01-06,Maazer,13,-,-
2026-01-06,O. Hassar,2.24,-,-
2026-01-06,Ain Kouachia,11,12.47,113.364
2026-01-06,Zamrine,0.496,-,-
2026-01-06,Réserve totale,,1044.202,
2026-01-05,Sidi Mohammed Ben Abdellah,974.788,955.59,98.0305
2026-01-05,Tamesna,57,28.735,50.4123
2026-01-05,El Mellah,35,22.888,65.3943
2026-01-05,El Himer,14,3.163,22.5929
2026-01-05,Maazer,13,-,-
2026-01-05,O. Hassar,2.24,-,-
2026-01-05,Ain Kouachia,11,11.49,104.455
2026-01-05,Zamrine,0.496,-,-
2026-01-05,Réserve totale,,1021.866,
2026-01-04,Sidi Mohammed Ben Abdellah,974.788,924.554,94.8467
2026-01-04,Tamesna,57,26.079,45.7526
2026-01-04,El Mellah,35,20.845,59.5571
2026-01-04,El Himer,14,2.296,16.4
2026-01-04,Maazer,13,-,-
2026-01-04,O. Hassar,2.24,-,-
2026-01-04,Ain Kouachia,11,11.11,101
2026-01-04,Zamrine,0.496,-,-
2026-01-04,Réserve totale,,984.884,
2026-01-03,Sidi Mohammed Ben Abdellah,974.788,920.106,94.3904
2026-01-03,Tamesna,57,25.28,44.3509
2026-01-03,El Mellah,35,20.207,57.7343
2026-01-03,El Himer,14,2.098,14.9857
2026-01-03,Maazer,13,-,-
2026-01-03,O. Hassar,2.24,-,-
2026-01-03,Ain Kouachia,11,10.96,99.6364
